dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.001,32,32,0.2,0.0015170259,1.0,0.0015170259,1.0,0.27656162,0.8888888888888888
aifb,50,False,0.01,0.001,32,32,0.5,0.0009097968,1.0,0.0009097968,1.0,0.19125089,0.9444444444444444
aifb,50,False,0.01,0.001,32,32,0.8,0.00038220835,1.0,0.00038220835,1.0,0.16417295,0.9722222222222222
aifb,50,False,0.01,0.001,32,32,0.9,0.0013406717,1.0,0.0013406717,1.0,0.14937052,0.9444444444444444
aifb,50,False,0.01,0.001,64,4,0.2,0.004275596,1.0,0.004275596,1.0,0.19702064,0.9166666666666666
aifb,50,False,0.01,0.001,64,4,0.5,0.0045943577,1.0,0.0045943577,1.0,0.24474838,0.8888888888888888
aifb,50,False,0.01,0.001,64,4,0.8,0.002418089,1.0,0.002418089,1.0,0.18795595,0.9444444444444444
aifb,50,False,0.01,0.001,64,4,0.9,0.0018305077,1.0,0.0018305077,1.0,0.16601515,0.9444444444444444
aifb,50,False,0.01,0.001,64,8,0.2,0.0028483637,1.0,0.0028483637,1.0,0.2073436,0.9166666666666666
aifb,50,False,0.01,0.001,64,8,0.5,0.0017574135,1.0,0.0017574135,1.0,0.22732061,0.9166666666666666
aifb,50,False,0.01,0.001,64,8,0.8,0.0009446468,1.0,0.0009446468,1.0,0.18877353,0.9166666666666666
aifb,50,False,0.01,0.001,64,8,0.9,0.0005064793,1.0,0.0005064793,1.0,0.19462219,0.9166666666666666
aifb,50,False,0.01,0.001,64,16,0.2,0.0017643597,1.0,0.0017643597,1.0,0.24140519,0.9166666666666666
aifb,50,False,0.01,0.001,64,16,0.5,0.0015322155,1.0,0.0015322155,1.0,0.24677528,0.8888888888888888
aifb,50,False,0.01,0.001,64,16,0.8,0.0005415403,1.0,0.0005415403,1.0,0.18112116,0.9444444444444444
aifb,50,False,0.01,0.001,64,16,0.9,0.00024054154,1.0,0.00024054154,1.0,0.14801744,0.9444444444444444
aifb,50,False,0.01,0.001,64,32,0.2,0.001494444,1.0,0.001494444,1.0,0.27410457,0.8888888888888888
aifb,50,False,0.01,0.001,64,32,0.5,0.0010921542,1.0,0.0010921542,1.0,0.22126138,0.9166666666666666
aifb,50,False,0.01,0.001,64,32,0.8,0.00032967207,1.0,0.00032967207,1.0,0.14281596,0.9722222222222222
aifb,50,False,0.01,0.001,64,32,0.9,0.00017634704,1.0,0.00017634704,1.0,0.17710954,0.9444444444444444
aifb,50,False,0.01,0.01,8,4,0.2,0.03595795,1.0,0.03595795,1.0,0.27141154,0.8888888888888888
aifb,50,False,0.01,0.01,8,4,0.5,0.040079225,1.0,0.040079225,1.0,0.2922085,0.8888888888888888
aifb,50,False,0.01,0.01,8,4,0.8,0.08182776,0.9857142857142858,0.08182776,0.9857142857142858,0.28070426,0.9166666666666666
aifb,50,False,0.01,0.01,8,4,0.9,0.13516429,0.9928571428571429,0.13516429,0.9928571428571429,0.37624454,0.9166666666666666
aifb,50,False,0.01,0.01,8,8,0.2,0.02622396,1.0,0.02622396,1.0,0.2865172,0.9166666666666666
aifb,50,False,0.01,0.01,8,8,0.5,0.02538959,1.0,0.02538959,1.0,0.26777893,0.9166666666666666
aifb,50,False,0.01,0.01,8,8,0.8,0.047135014,1.0,0.047135014,1.0,0.2469967,0.9166666666666666
aifb,50,False,0.01,0.01,8,8,0.9,0.1201602,1.0,0.1201602,1.0,0.36874568,0.9166666666666666
aifb,50,False,0.01,0.01,8,16,0.2,0.011020163,1.0,0.011020163,1.0,0.25373533,0.8888888888888888
aifb,50,False,0.01,0.01,8,16,0.5,0.011883722,1.0,0.011883722,1.0,0.27777168,0.8888888888888888
aifb,50,False,0.01,0.01,8,16,0.8,0.024987524,1.0,0.024987524,1.0,0.25726232,0.9166666666666666
aifb,50,False,0.01,0.01,8,16,0.9,0.07485348,1.0,0.07485348,1.0,0.31804854,0.9444444444444444
aifb,50,False,0.01,0.01,8,32,0.2,0.010407327,1.0,0.010407327,1.0,0.27555493,0.9166666666666666
aifb,50,False,0.01,0.01,8,32,0.5,0.010749023,1.0,0.010749023,1.0,0.2691736,0.9444444444444444
aifb,50,False,0.01,0.01,8,32,0.8,0.02415861,1.0,0.02415861,1.0,0.23543514,0.9444444444444444
aifb,50,False,0.01,0.01,8,32,0.9,0.08069106,0.9714285714285714,0.08069106,0.9714285714285714,0.28073278,0.9166666666666666
aifb,50,False,0.01,0.01,16,4,0.2,0.025296466,1.0,0.025296466,1.0,0.23197232,0.9166666666666666
aifb,50,False,0.01,0.01,16,4,0.5,0.022605,1.0,0.022605,1.0,0.2199492,0.9444444444444444
aifb,50,False,0.01,0.01,16,4,0.8,0.043775085,1.0,0.043775085,1.0,0.26814863,0.8888888888888888
